book_id,title,author,publication_year,confidence,recommended_action,url
34,Mathematica (R) programming: an Advanced Introduction | Physics Library,Leonid Shifrin Uploaded by: bci1,1997,high,Eligible to retain/rehost after exact CC variant and attribution are recorded,https://physicslibrary.org/?op=getobj;from=books;id=34
111,Advanced Calculus (revised edition) | Physics Library,"Lynn H. Loomis and Shlomo Sternberg, Professors at Harvard Mathematics Department Uploaded by: bci1",,high,Eligible to retain/rehost after exact CC variant and attribution are recorded,https://physicslibrary.org/?op=getobj;from=books;id=111
293,Quantum Theory and Logic | Physics Library,Contributing,,high,Eligible to retain/rehost after exact CC variant and attribution are recorded,https://physicslibrary.org/?op=getobj;from=books;id=293
294,"Spectroscopy Principles, Techniques and Applications | Physics Library",Contributing,,high,Eligible to retain/rehost after exact CC variant and attribution are recorded,https://physicslibrary.org/?op=getobj;from=books;id=294
309,"Algebraic Topology, Quantum Physics, Category Theory and Higher Dimensional Algebra | Physics Library",Contributing,,high,Eligible to retain/rehost after exact CC variant and attribution are recorded,https://physicslibrary.org/?op=getobj;from=books;id=309
310,Notable Algebraic Topologists and Theorems | Physics Library,Contributing,,high,Eligible to retain/rehost after exact CC variant and attribution are recorded,https://physicslibrary.org/?op=getobj;from=books;id=310
311,Symbolic Dynamics and Dynamical System Models | Physics Library,Contributing,,high,Eligible to retain/rehost after exact CC variant and attribution are recorded,https://physicslibrary.org/?op=getobj;from=books;id=311
312,Spectroscopic Techniques: Principles and Applications | Physics Library,Book editor Bci2 and the contributors listed in the attached PDF Uploaded by: bci1,,high,Eligible to retain/rehost after exact CC variant and attribution are recorded,https://physicslibrary.org/?op=getobj;from=books;id=312
319,Higher Dimensional Algebra v. 2 | Physics Library,"Contributed book, edited by bci1 Uploaded by: bci1",,high,Eligible to retain/rehost after exact CC variant and attribution are recorded,https://physicslibrary.org/?op=getobj;from=books;id=319
335,"Supergeometry and Physics: Quantum Gravity, Supergravity and Supergeometry | Physics Library","Contributed book, edited by bci1 Uploaded by: bci1",,high,Eligible to retain/rehost after exact CC variant and attribution are recorded,https://physicslibrary.org/?op=getobj;from=books;id=335
386,"Quantum Algebraic Topology, Symmetry and Higher Dimensional Algebra-- Second Edition | Physics Library",Bci2 (Editor) with listed contributors Uploaded by: bci1,,high,Eligible to retain/rehost after exact CC variant and attribution are recorded,https://physicslibrary.org/?op=getobj;from=books;id=386
387,"Spectroscopy and Imaging: Principles, Theory, Techniques and Applications | Physics Library",Bci2 with contributing,,high,Eligible to retain/rehost after exact CC variant and attribution are recorded,https://physicslibrary.org/?op=getobj;from=books;id=387
