book_id,title,author,publication_year,confidence,recommended_action,url
182,Free High School Science Texts: A Textbook for High School Students Studying Physics | Physics Library,Contributors list at the FHSST website Uploaded by: bci1,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=182
217,"DNA, Nanotechnology and Biotechnology | Physics Library",A large (100+) group of contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=217
237,LaTeX Manual Book | Physics Library,Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=237
241,Special Relativity textbook | Physics Library,Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=241
242,Complex Systems Theory | Physics Library,Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=242
248,Biodynamics and Complex Systems Theory | Physics Library,Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=248
250,Molecular Modeling and Dynamics | Physics Library,Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=250
251,Algebraic Mathematics and Logic | Physics Library,Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=251
253,Algebraic Mathematics and Logics | Physics Library,Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=253
254,"Quantum Algebra, Quantum Logic, Algebraic Logic and Algebraic Mathematics | Physics Library",Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=254
255,"Quantum Logic, Algebraic Logic, Quantum Algebra and Quantum Computers: Abelian and Non-Abelian Structures | Physics Library",Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=255
