book_id,title,author,publication_year,confidence,recommended_action,url
9,Dynamical Systems | Physics Library,"Shlomo Sternberg, Professor at Harvard Mathematics Department Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=9
11,Semi-Riemann Geometry and General Relativity | Physics Library,"Shlomo Sternberg, Professor at Harvard University, Mathematics Dept. Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=11
12,Lie algebras | Physics Library,"Shlomo Sternberg, Professor at Harvard University, Mathematics Dept. Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=12
13,Understanding Physics | Physics Library,Faraz Hussain Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=13
14,"Superspace, or 1,001 Lessons in Supersymmetry | Physics Library","S.J. Gates Jr (University of Maryland), M.T. Grisaru (McGill University), M. Rocek, W. Siegel (C.N. Yang Institute for Theoretical Physics) Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=14
15,Operator Algebras and Quantum StatisticaI Mechanics -vols. 1 and 2 | Physics Library,,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=15
16,An Elementary Introduction to Groups and Representations | Physics Library,"Brian C. Hall, University of Notre Dame, Department of Mathematics, Notre Dame, USA Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=16
17,Non-Equilibrium Statistical Mechanics | Physics Library,"Klaus Schulten and Ion Kosztin, Department of Physics and Beckman Institute,UIUC Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=17
18,Mathematical Methods in Quantum Mechanics With Applications to Schroedinger Operators | Physics Library,"Gerald Teschl, Faculty of Mathematics, University of Viena Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=18
19,"ATLAS Collaboration: Expected Performance of the ATLAS Experiment-Detector, Trigger and Physics | Physics Library","G. Aad, E. Abat, B. Abbott, J. Abdallah, A.A. Abdelalim, A. Abdesselam,O. Abdinov, B. Abi, M. Abolins, H. Abramowicz, B.S. Acharya, D.L. Adams, T.N. Addy, C. Adorisio, et al. (and 2542 additional",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=19
21,Physics Library,,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=21
22,Categories and Groupoids | Physics Library,P. J. Higgins Uploaded by: bci1,1971,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=22
24,Handbook of Mathematical Functions | Physics Library,Milton Abramowitz and Irene A. Stegun Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=24
