book_id,title,author,publication_year,confidence,recommended_action,url
1,Elements of the Mathematical Theory of Electricity and Magnetism | Physics Library,J. J. Thomson Uploaded by: bloftin,1909,medium,Retain candidate; confirm edition/source and U.S. public-domain basis,https://physicslibrary.org/?op=getobj;from=books;id=1
2,A Treatise on Electricity and Magnetism | Physics Library,James Clerk Maxwell Uploaded by: bloftin,1873,medium,Retain candidate; confirm edition/source and U.S. public-domain basis,https://physicslibrary.org/?op=getobj;from=books;id=2
3,Newton's Principia Sections I. II. III. with Notes and Illustrations | Physics Library,"Newton, Percival Frost Uploaded by: bloftin",1863,medium,Retain candidate; confirm edition/source and U.S. public-domain basis,https://physicslibrary.org/?op=getobj;from=books;id=3
4,Elements of Quaternions | Physics Library,"Sir William Hamilton, Charles Joly Uploaded by: bloftin",1899,medium,Retain candidate; confirm edition/source and U.S. public-domain basis,https://physicslibrary.org/?op=getobj;from=books;id=4
5,An Elementary Treatise on Quaternions | Physics Library,P. G. Tait Uploaded by: bloftin,1890,medium,Retain candidate; confirm edition/source and U.S. public-domain basis,https://physicslibrary.org/?op=getobj;from=books;id=5
6,The Theory of Heat Radiation | Physics Library,Max Planck Uploaded by: bloftin,1914,medium,Retain candidate; confirm edition/source and U.S. public-domain basis,https://physicslibrary.org/?op=getobj;from=books;id=6
23,"Categories, Types and Structures: Category Theory for the working computer scientist | Physics Library",Andrea Asperti and Giuseppe Longo Uploaded by: bci1,,medium,Retain candidate; confirm edition/source and U.S. public-domain basis,https://physicslibrary.org/?op=getobj;from=books;id=23
144,Chebyshev and Fourier Spectral Methods- 2nd edition | Physics Library,J. P. Boyd Uploaded by: bci1,,medium,Retain candidate; confirm edition/source and U.S. public-domain basis,https://physicslibrary.org/?op=getobj;from=books;id=144
156,Graph Theory with Applications | Physics Library,J.A. Bondy and U.S.R. Murty Uploaded by: bci1,,medium,Retain candidate; confirm edition/source and U.S. public-domain basis,https://physicslibrary.org/?op=getobj;from=books;id=156
269,Algorithms | Physics Library,"Macneil Shonle (C) , Matthew Wilson (C) ,Martin Krischik (C) , Jyasskin (C) . Gkhan, and other Wikibooks contributors listed in the attached PDF file Uploaded by: bci1",2004,medium,Retain candidate; confirm edition/source and U.S. public-domain basis,https://physicslibrary.org/?op=getobj;from=books;id=269
354,Galois Connections and Fixed Point Calculus | Physics Library,"Roland Backhouse, School of Computer Science and Information Technology, University of Nottingham Uploaded by: bci1",,medium,Retain candidate; confirm edition/source and U.S. public-domain basis,https://physicslibrary.org/?op=getobj;from=books;id=354
402,Elementary Differential Equations | Physics Library,Thornton C Fry Uploaded by: bloftin Abstract: Elementary Differential Equations,1929,medium,Retain candidate; confirm edition/source and U.S. public-domain basis,https://physicslibrary.org/?op=getobj;from=books;id=402
