book_id,reference_count,best_anchor_text,example_source,example_url
19,2,HIGH ENERGY PHYSICS,PlanetPhysics-snapshot_2011-04-01/entries/00/OverviewOfTheContentOfPlanetPhysics/OverviewOfTheContentOfPlanetPhysics.html,http://planetphysics.org/?op=getobj&from=books&id=19
20,2,,,
33,2,proof of Thurston's orbifold theorem,PlanetPhysics-snapshot_2011-04-01/entries/00/GeometrizationConjectureAndTheorem/GeometrizationConjectureAndTheorem.html,http://planetphysics.org/?op=getobj&from=books&id=33
42,2,Computational Physics -An introductory course,PlanetPhysics-snapshot_2011-04-01/entries/00/TopicOnComputationalPhysics/TopicOnComputationalPhysics.html,http://planetphysics.org/?op=getobj&from=books&id=42
66,2,a graduate level preprint discussing general C*-algebras,PlanetPhysics-snapshot_2011-04-01/entries/00/NuclearCAlgebra/NuclearCAlgebra.html,http://planetmath.org/?op=getobj&from=books&id=66
78,8,see also a brief summary in English,PlanetPhysics-snapshot_2011-04-01/entries/00/IndexOfAlgebraicGeometry/IndexOfAlgebraicGeometry.html,http://planetmath.org/?op=getobj&from=books&id=78
95,2,Spectral Sequences in Algebraic Topology,PlanetPhysics-snapshot_2011-04-01/entries/00/AlgebraicGeometryAndAlgebraicTopologyReferencesListForHomologicalAlgebra/AlgebraicGeometryAndAlgebraicTopologyReferencesListForHomologicalAlgebra.html,http://planetmath.org/?op=getobj&from=books&id=95
153,6,Textbook5,PlanetPhysics-snapshot_2011-04-01/entries/00/IndexOfAlgebraicGeometry/IndexOfAlgebraicGeometry.html,http://planetmath.org/?op=getobj&from=books&id=153
154,2,see also the PM book reference,PlanetPhysics-snapshot_2011-04-01/entries/00/TangentialCauchyRiemannComplex/TangentialCauchyRiemannComplex.html,http://planetmath.org/?op=getobj&from=books&id=154
156,6,Textbook2,PlanetPhysics-snapshot_2011-04-01/entries/00/IndexOfAlgebraicGeometry/IndexOfAlgebraicGeometry.html,http://planetmath.org/?op=getobj&from=books&id=156
158,16,Abstract in English,PlanetPhysics-snapshot_2011-04-01/entries/00/IndexOfAlgebraicGeometry/IndexOfAlgebraicGeometry.html,http://planetmath.org/?op=getobj&from=books&id=158
159,6,Textbook3,PlanetPhysics-snapshot_2011-04-01/entries/00/IndexOfAlgebraicGeometry/IndexOfAlgebraicGeometry.html,http://planetmath.org/?op=getobj&from=books&id=159
160,10,Textbook4,PlanetPhysics-snapshot_2011-04-01/entries/00/IndexOfAlgebraicGeometry/IndexOfAlgebraicGeometry.html,http://planetmath.org/?op=getobj&from=books&id=160
163,8,The Grothendieck Theory of Dessins d'Enfants,PlanetPhysics-snapshot_2011-04-01/entries/00/AlgebraicGeometryAndAlgebraicTopologyReferencesListForHomologicalAlgebra/AlgebraicGeometryAndAlgebraicTopologyReferencesListForHomologicalAlgebra.html,http://planetmath.org/?op=getobj&from=books&id=163
167,4,Nonabelian Algebraic Topology vol.1.2007-2008.free downloads,PlanetPhysics-snapshot_2011-04-01/entries/00/NonAbelianAlgebraicTopology5/NonAbelianAlgebraicTopology5.html,http://planetphysics.org/?op=getobj&from=books&id=167
168,2,Descent and Galois Theory,PlanetPhysics-snapshot_2011-04-01/entries/00/AlgebraicGeometryAndAlgebraicTopologyReferencesListForHomologicalAlgebra/AlgebraicGeometryAndAlgebraicTopologyReferencesListForHomologicalAlgebra.html,http://planetmath.org/?op=getobj&from=books&id=168
