time_s,position_m,velocity_m_s,acceleration_m_s2
2,1,3,2
2.05,1.1525,3.1,2
2.1,1.31,3.2,2
2.15,1.4725,3.3,2
2.2,1.64,3.4,2
2.25,1.8125,3.5,2
2.3,1.99,3.6,2
2.35,2.1725,3.7,2
2.4,2.36,3.8,2
2.45,2.5525,3.9,2
2.5,2.75,4,2
2.55,2.9525,4.1,2
2.6,3.16,4.2,2
2.65,3.3725,4.3,2
2.7,3.59,4.4,2
2.75,3.8125,4.5,2
2.8,4.04,4.6,2
2.85,4.2725,4.7,2
2.9,4.51,4.8,2
2.95,4.7525,4.9,2
3,5,5,2
3.05,5.2525,5.1,2
3.1,5.51,5.2,2
3.15,5.7725,5.3,2
3.2,6.04,5.4,2
3.25,6.3125,5.5,2
3.3,6.59,5.6,2
3.35,6.8725,5.7,2
3.4,7.16,5.8,2
3.45,7.4525,5.9,2
3.5,7.75,6,2
3.55,8.0525,6.1,2
3.6,8.36,6.2,2
3.65,8.6725,6.3,2
3.7,8.99,6.4,2
3.75,9.3125,6.5,2
3.8,9.64,6.6,2
3.85,9.9725,6.7,2
3.9,10.31,6.8,2
3.95,10.6525,6.9,2
4,11,7,2
4.05,11.3525,7.1,2
4.1,11.71,7.2,2
4.15,12.0725,7.3,2
4.2,12.44,7.4,2
4.25,12.8125,7.5,2
4.3,13.19,7.6,2
4.35,13.5725,7.7,2
4.4,13.96,7.8,2
4.45,14.3525,7.9,2
4.5,14.75,8,2
4.55,15.1525,8.1,2
4.6,15.56,8.2,2
4.65,15.9725,8.3,2
4.7,16.39,8.4,2
4.75,16.8125,8.5,2
4.8,17.24,8.6,2
4.85,17.6725,8.7,2
4.9,18.11,8.8,2
4.95,18.5525,8.9,2
5,19,9,2
5.05,19.4525,9.1,2
5.1,19.91,9.2,2
5.15,20.3725,9.3,2
5.2,20.84,9.4,2
5.25,21.3125,9.5,2
5.3,21.79,9.6,2
5.35,22.2725,9.7,2
5.4,22.76,9.8,2
5.45,23.2525,9.9,2
5.5,23.75,10,2
5.55,24.2525,10.1,2
5.6,24.76,10.2,2
5.65,25.2725,10.3,2
5.7,25.79,10.4,2
5.75,26.3125,10.5,2
5.8,26.84,10.6,2
5.85,27.3725,10.7,2
5.9,27.91,10.8,2
5.95,28.4525,10.9,2
6,29,11,2
6.05,29.5525,11.1,2
6.1,30.11,11.2,2
6.15,30.6725,11.3,2
6.2,31.24,11.4,2
6.25,31.8125,11.5,2
6.3,32.39,11.6,2
6.35,32.9725,11.7,2
6.4,33.56,11.8,2
6.45,34.1525,11.9,2
6.5,34.75,12,2
6.55,35.3525,12.1,2
6.6,35.96,12.2,2
6.65,36.5725,12.3,2
6.7,37.19,12.4,2
6.75,37.8125,12.5,2
6.8,38.44,12.6,2
6.85,39.0725,12.7,2
6.9,39.71,12.8,2
6.95,40.3525,12.9,2
7,41,13,2
7.05,41.6525,13.1,2
7.1,42.31,13.2,2
7.15,42.9725,13.3,2
7.2,43.64,13.4,2
7.25,44.3125,13.5,2
7.3,44.99,13.6,2
7.35,45.6725,13.7,2
7.4,46.36,13.8,2
7.45,47.0525,13.9,2
7.5,47.75,14,2
7.55,48.4525,14.1,2
7.6,49.16,14.2,2
7.65,49.8725,14.3,2
7.7,50.59,14.4,2
7.75,51.3125,14.5,2
7.8,52.04,14.6,2
7.85,52.7725,14.7,2
7.9,53.51,14.8,2
7.95,54.2525,14.9,2
8,55,15,2
