time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,acceleration_m_s2,specific_energy_J_kg,angular_momentum_m2_s
0,25484000,0,0,3163.92530661,25484000,3163.92530661,0.613768893337,-10636074.8049,80629472513.6
224.925515479,25468474.2593,711647.530525,-138.055607751,3161.99646517,25478414.8507,3165.0088462,0.614038012638,-10636074.7218,80629472513.6
449.851030958,25421895.5425,1422427.36974,-276.124414506,3156.20467619,25461658.8736,3168.26019296,0.614846458969,-10636074.4728,80629472513.6
674.776546437,25344259.4068,2131469.45802,-414.219244963,3146.53411504,25433730.4957,3173.68154042,0.616197506722,-10636074.0581,80629472513.6
899.702061916,25235558.5881,2837898.98534,-552.352167913,3132.95830487,25394627.1464,3181.2765767,0.6180966437,-10636073.4785,80629472513.6
1124.62757739,25095783.2146,3540833.98142,-690.534099889,3115.43996211,25344345.3346,3191.05053245,0.620551617247,-10636072.7351,80629472513.6
1349.55309287,24924921.1114,4239382.86418,-828.774386254,3093.93077866,25282880.7591,3203.01024763,0.623572499642,-10636071.8299,80629472513.6
1574.47860835,24722958.2025,4932641.93191,-967.080351418,3068.37113905,25210228.4542,3217.16425646,0.627171773585,-10636070.7656,80629472513.6
1799.40412383,24489879.0183,5619692.78444,-1105.45680912,3038.68977075,25126382.9733,3233.52288993,0.631364438851,-10636069.5464,80629472513.6
2024.32963931,24225667.3173,6299599.65804,-1243.90552281,3004.80332509,25031338.6142,3252.09839521,0.636168141466,-10636068.1785,80629472513.6
2249.25515479,23930306.8364,6971406.65806,-1382.42460494,2966.61588602,24925089.6905,3272.90507097,0.641603327039,-10636066.6704,80629472513.6
2474.18067027,23603782.1835,7634134.87283,-1521.00784258,2924.01840366,24807630.8547,3295.95941755,0.64769342018,-10636065.0338,80629472513.6
2699.10618575,23246079.8904,8286779.35149,-1659.64393488,2876.88804902,24678957.4798,3321.28030091,0.654465032271,-10636063.2848,80629472513.6
2924.03170123,22857189.6484,8928305.92763,-1798.31562589,2825.08748646,24539066.1061,3348.88912872,0.661948200197,-10636061.4452,80629472513.6
3148.9572167,22437105.7521,9557647.86981,-1936.99871352,2768.46406002,24387954.9641,3378.81003725,0.670176658998,-10636059.5438,80629472513.6
3373.88273218,21985828.7802,10173702.3392,-2075.66091245,2706.84889018,24225624.583,3411.0700869,0.679188151824,-10636057.6185,80629472513.6
3598.80824766,21503367.5507,10775326.6337,-2214.26054501,2640.05587753,24052078.4982,3445.69946422,0.689024780919,-10636055.719,80629472513.6
3823.73376314,20989741.3912,11361334.1975,-2352.74502972,2567.88061105,23867324.0732,3482.73168755,0.699733403818,-10636053.91,80629472513.6
4048.65927862,20444982.7735,11930490.374,-2491.0491319,2490.09917927,23671373.4534,3522.20381297,0.711366079296,-10636052.275,80629472513.6
4273.5847941,19869140.371,12481507.8805,-2629.09293474,2406.46688469,23464244.6726,3564.15663609,0.723980567965,-10636050.9216,80629472513.6
4498.51030958,19262282.6063,13013041.983,-2766.7794816,2316.71686445,23245962.9368,3608.63488453,0.737640892708,-10636049.9876,80629472513.6
4723.43582506,18624501.7688,13523685.3504,-2903.99203213,2220.5586235,23016562.115,3655.68739406,0.752417964271,-10636049.6495,80629472513.6
4948.36134054,17955918.7968,14011962.5691,-3040.59086417,2117.67649248,22776086.4697,3705.36725982,0.768390277267,-10636050.1324,80629472513.6
5173.28685601,17256688.8338,14476324.3038,-3176.40954208,2007.72802909,22524592.6679,3757.7319513,0.78564468148,-10636051.7232,80629472513.6
