time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,acceleration_m_s2,specific_energy_J_kg,angular_momentum_m2_s
0,25484000,0,0,5615.96741923,25484000,5615.96741923,0.613768893337,128258.549118,143117313712
224.925515479,25468474.2593,1263174.36668,-137.882241113,5612.55232423,25499780.2065,5614.24572892,0.613009482631,128270.480741,143117313712
449.851030958,25421973.5317,2524812.44936,-275.087964022,5602.34900795,25547043.1978,5609.09866153,0.610743399518,128305.887144,143117313712
674.776546437,25344725.6551,3783396.84369,-410.955096976,5585.48194291,25625557.7541,5600.57966878,0.607006599978,128363.62829,143117313712
899.702061916,25237104.9576,5037447.25978,-544.849762895,5562.15390007,25734943.9777,5588.77600841,0.601857410825,128441.885905,143117313712
1124.62757739,25099624.4276,6285537.50998,-676.178690676,5532.6392468,25874681.2192,5573.80611942,0.595374254892,128538.277013,143117313712
1349.55309287,24932925.2765,7526310.72886,-804.399762232,5497.27517452,26044118.6457,5555.81617063,0.587652700906,128649.996079,143117313712
1574.47860835,24737764.3652,8758492.4147,-929.030316696,5456.45138893,26242487.976,5534.97597909,0.578802039898,128773.972088,143117313712
1799.40412383,24515000.0308,9980901.01155,-1049.65300152,5410.59885133,26468917.8379,5511.47451719,0.568941606996,128907.02668,143117313712
2024.32963931,24265576.8803,11192455.8861,-1165.91912915,5360.17816239,26722449.1785,5485.51523089,0.558197063207,129046.021006,143117313712
2249.25515479,23990510.1085,12392182.684,-1277.54965072,5305.66813612,27002051.1617,5457.31137839,0.546696829444,129187.981745,143117313712
2474.18067027,23690869.8529,13579216.167,-1384.33398269,5247.55503218,27306637.0338,5427.08157221,0.534568829457,129330.200148,143117313712
2699.10618575,23367766.0392,14752800.7253,-1486.12701064,5186.32281185,27635079.4987,5395.04567177,0.521937655342,129470.301487,143117313712
2924.03170123,23022334.085,15912288.8308,-1582.84464516,5122.44467081,27986225.2288,5361.42113402,0.508922224641,129606.2854,143117313712
3148.9572167,22655721.7437,17057137.7414,-1674.45832051,5056.37599155,28358908.224,5326.41988911,0.495633956234,129736.539983,143117313712
3373.88273218,22269077.2832,18186904.7835,-1760.98881273,4988.54875919,28751961.8227,5290.24577136,0.482175456831,129859.834062,143117313712
3598.80824766,21863539.1108,19301241.5437,-1842.49971817,4919.36740258,29164229.2471,5253.09250376,0.468639682467,129975.292767,143117313712
3823.73376314,21440226.8855,20399887.2812,-1919.09088363,4849.2059603,29594572.6441,5215.14220947,0.455109520683,130082.361635,143117313712
