case_id,segments,time_estimate_s,exact_time_s,absolute_error_s,relative_error
before-bottom,4,0.533359944932688,0.5828954631547385,0.04953551822205049,-0.084981821532724
before-bottom,8,0.5559422162847401,0.5828954631547385,0.02695324686999845,-0.04624027561326772
before-bottom,16,0.5688103669221707,0.5828954631547385,0.01408509623256782,-0.02416401760332232
before-bottom,32,0.5756919254873688,0.5828954631547385,0.007203537667369697,-0.01235819820655802
before-bottom,64,0.5792522561210888,0.5828954631547385,0.003643207033649731,-0.006250189380325621
before-bottom,128,0.5810633456563233,0.5828954631547385,0.001832117498415164,-0.003143132198180793
before-bottom,256,0.5819767562417367,0.5828954631547385,0.0009187069130017766,-0.001576109218674587
before-bottom,512,0.58243544517545,0.5828954631547385,0.0004600179792885184,-0.0007891946470106589
before-bottom,1024,0.5826652877226945,0.5828954631547385,0.0002301754320439553,-0.0003948828676727094
before-bottom,2048,0.5827803337890595,0.5828954631547385,0.0001151293656790342,-0.0001975128868835806
before-bottom,4096,0.5828378880545986,0.5828954631547385,5.757510013992828e-05,-9.877431508614108e-05
before-bottom,8192,0.5828666729997299,0.5828954631547385,2.87901550085623e-05,-4.939162650665462e-05
before-bottom,16384,0.5828810674259339,0.5828954631547385,1.439572880457263e-05,-2.469693060683689e-05
at-bottom,4,0.6528395814081646,0.7092516767214361,0.05641209531327152,-0.07953748600784456
at-bottom,8,0.677531901427645,0.7092516767214361,0.03171977529379111,-0.04472287670917877
at-bottom,16,0.6924002608957834,0.7092516767214361,0.01685141582565264,-0.02375943036687548
at-bottom,32,0.7005608872705936,0.7092516767214361,0.008690789450842451,-0.01225346338413497
at-bottom,64,0.7048376296865736,0.7092516767214361,0.004414047034862478,-0.006223527105733059
at-bottom,128,0.7070271763406114,0.7092516767214361,0.002224500380824668,-0.003136404824740875
at-bottom,256,0.7081350170353994,0.7092516767214361,0.001116659686036692,-0.001574419522275262
at-bottom,512,0.7086922394017353,0.7092516767214361,0.0005594373197007618,-0.0007887712332056777
at-bottom,1024,0.708971680550273,0.7092516767214361,0.0002799961711630328,-0.000394776889999519
at-bottom,2048,0.7091116091774877,0.7092516767214361,0.0001400675439483523,-0.0001974863769033639
at-bottom,4096,0.7091816255747879,0.7092516767214361,7.005114664815348e-05,-9.876768564294364e-05
at-bottom,8192,0.7092166468031856,0.7092516767214361,3.502991825043988e-05,-4.93899688928027e-05
at-bottom,16384,0.709234160675927,0.7092516767214361,1.751604550903618e-05,-2.469651617886233e-05
after-bottom,4,1.126428259893135,1.211496526536506,0.08506826664337108,-0.07021750766927
after-bottom,8,1.160412387388131,1.211496526536506,0.05108413914837517,-0.04216614577873976
after-bottom,16,1.183544529257958,1.211496526536506,0.02795199727854825,-0.02307228841873693
after-bottom,32,1.196868750286886,1.211496526536506,0.01462777624962053,-0.01207413800140165
after-bottom,64,1.204012332056975,1.211496526536506,0.00748419447953097,-0.006177644190963719
after-bottom,128,1.207710847771665,1.211496526536506,0.003785678764840927,-0.00312479539306946
after-bottom,256,1.209592660522421,1.211496526536506,0.001903866014085542,-0.001571499358341886
after-bottom,512,1.210541820101869,1.211496526536506,0.0009547064346371315,-0.000788038936740908
after-bottom,1024,1.211018477843005,1.211496526536506,0.0004780486935014316,-0.0003945935320740076
after-bottom,2048,1.211257328054345,1.211496526536506,0.0002391984821608073,-0.0001974405018268119
after-bottom,4096,1.211376883728186,1.211496526536506,0.0001196428083196643,-9.875621241911926e-05
after-bottom,8192,1.211436694236362,1.211496526536506,5.983230014416918e-05,-4.938710003174429e-05
after-bottom,16384,1.211466607661918,1.211496526536506,2.991887458758669e-05,-2.469579890015899e-05
