time_s,position_m,velocity_m_s,acceleration_m_s2
2,1,3,0
2.05,1.15,3,0
2.1,1.3,3,0
2.15,1.45,3,0
2.2,1.6,3,0
2.25,1.75,3,0
2.3,1.9,3,0
2.35,2.05,3,0
2.4,2.2,3,0
2.45,2.35,3,0
2.5,2.5,3,0
2.55,2.65,3,0
2.6,2.8,3,0
2.65,2.95,3,0
2.7,3.1,3,0
2.75,3.25,3,0
2.8,3.4,3,0
2.85,3.55,3,0
2.9,3.7,3,0
2.95,3.85,3,0
3,4,3,0
3.05,4.15,3,0
3.1,4.3,3,0
3.15,4.45,3,0
3.2,4.6,3,0
3.25,4.75,3,0
3.3,4.9,3,0
3.35,5.05,3,0
3.4,5.2,3,0
3.45,5.35,3,0
3.5,5.5,3,0
3.55,5.65,3,0
3.6,5.8,3,0
3.65,5.95,3,0
3.7,6.1,3,0
3.75,6.25,3,0
3.8,6.4,3,0
3.85,6.55,3,0
3.9,6.7,3,0
3.95,6.85,3,0
4,7,3,0
4.05,7.15,3,0
4.1,7.3,3,0
4.15,7.45,3,0
4.2,7.6,3,0
4.25,7.75,3,0
4.3,7.9,3,0
4.35,8.05,3,0
4.4,8.2,3,0
4.45,8.35,3,0
4.5,8.5,3,0
4.55,8.65,3,0
4.6,8.8,3,0
4.65,8.95,3,0
4.7,9.1,3,0
4.75,9.25,3,0
4.8,9.4,3,0
4.85,9.55,3,0
4.9,9.7,3,0
4.95,9.85,3,0
5,10,3,0
5.05,10.15,3,0
5.1,10.3,3,0
5.15,10.45,3,0
5.2,10.6,3,0
5.25,10.75,3,0
5.3,10.9,3,0
5.35,11.05,3,0
5.4,11.2,3,0
5.45,11.35,3,0
5.5,11.5,3,0
5.55,11.65,3,0
5.6,11.8,3,0
5.65,11.95,3,0
5.7,12.1,3,0
5.75,12.25,3,0
5.8,12.4,3,0
5.85,12.55,3,0
5.9,12.7,3,0
5.95,12.85,3,0
6,13,3,0
6.05,13.15,3,0
6.1,13.3,3,0
6.15,13.45,3,0
6.2,13.6,3,0
6.25,13.75,3,0
6.3,13.9,3,0
6.35,14.05,3,0
6.4,14.2,3,0
6.45,14.35,3,0
6.5,14.5,3,0
6.55,14.65,3,0
6.6,14.8,3,0
6.65,14.95,3,0
6.7,15.1,3,0
6.75,15.25,3,0
6.8,15.4,3,0
6.85,15.55,3,0
6.9,15.7,3,0
6.95,15.85,3,0
7,16,3,0
7.05,16.15,3,0
7.1,16.3,3,0
7.15,16.45,3,0
7.2,16.6,3,0
7.25,16.75,3,0
7.3,16.9,3,0
7.35,17.05,3,0
7.4,17.2,3,0
7.45,17.35,3,0
7.5,17.5,3,0
7.55,17.65,3,0
7.6,17.8,3,0
7.65,17.95,3,0
7.7,18.1,3,0
7.75,18.25,3,0
7.8,18.4,3,0
7.85,18.55,3,0
7.9,18.7,3,0
7.95,18.85,3,0
8,19,3,0
