time_s,position_m,velocity_m_s,acceleration_m_s2
2,1,3,-1
2.05,1.14875,2.95,-1
2.1,1.295,2.9,-1
2.15,1.43875,2.85,-1
2.2,1.58,2.8,-1
2.25,1.71875,2.75,-1
2.3,1.855,2.7,-1
2.35,1.98875,2.65,-1
2.4,2.12,2.6,-1
2.45,2.24875,2.55,-1
2.5,2.375,2.5,-1
2.55,2.49875,2.45,-1
2.6,2.62,2.4,-1
2.65,2.73875,2.35,-1
2.7,2.855,2.3,-1
2.75,2.96875,2.25,-1
2.8,3.08,2.2,-1
2.85,3.18875,2.15,-1
2.9,3.295,2.1,-1
2.95,3.39875,2.05,-1
3,3.5,2,-1
3.05,3.59875,1.95,-1
3.1,3.695,1.9,-1
3.15,3.78875,1.85,-1
3.2,3.88,1.8,-1
3.25,3.96875,1.75,-1
3.3,4.055,1.7,-1
3.35,4.13875,1.65,-1
3.4,4.22,1.6,-1
3.45,4.29875,1.55,-1
3.5,4.375,1.5,-1
3.55,4.44875,1.45,-1
3.6,4.52,1.4,-1
3.65,4.58875,1.35,-1
3.7,4.655,1.3,-1
3.75,4.71875,1.25,-1
3.8,4.78,1.2,-1
3.85,4.83875,1.15,-1
3.9,4.895,1.1,-1
3.95,4.94875,1.05,-1
4,5,1,-1
4.05,5.04875,0.95,-1
4.1,5.095,0.9,-1
4.15,5.13875,0.85,-1
4.2,5.18,0.8,-1
4.25,5.21875,0.75,-1
4.3,5.255,0.7,-1
4.35,5.28875,0.65,-1
4.4,5.32,0.6,-1
4.45,5.34875,0.55,-1
4.5,5.375,0.5,-1
4.55,5.39875,0.45,-1
4.6,5.42,0.4,-1
4.65,5.43875,0.35,-1
4.7,5.455,0.3,-1
4.75,5.46875,0.25,-1
4.8,5.48,0.2,-1
4.85,5.48875,0.15,-1
4.9,5.495,0.1,-1
4.95,5.49875,0.05,-1
5,5.5,0,-1
5.05,5.49875,-0.05,-1
5.1,5.495,-0.1,-1
5.15,5.48875,-0.15,-1
5.2,5.48,-0.2,-1
5.25,5.46875,-0.25,-1
5.3,5.455,-0.3,-1
5.35,5.43875,-0.35,-1
5.4,5.42,-0.4,-1
5.45,5.39875,-0.45,-1
5.5,5.375,-0.5,-1
5.55,5.34875,-0.55,-1
5.6,5.32,-0.6,-1
5.65,5.28875,-0.65,-1
5.7,5.255,-0.7,-1
5.75,5.21875,-0.75,-1
5.8,5.18,-0.8,-1
5.85,5.13875,-0.85,-1
5.9,5.095,-0.9,-1
5.95,5.04875,-0.95,-1
6,5,-1,-1
6.05,4.94875,-1.05,-1
6.1,4.895,-1.1,-1
6.15,4.83875,-1.15,-1
6.2,4.78,-1.2,-1
6.25,4.71875,-1.25,-1
6.3,4.655,-1.3,-1
6.35,4.58875,-1.35,-1
6.4,4.52,-1.4,-1
6.45,4.44875,-1.45,-1
6.5,4.375,-1.5,-1
6.55,4.29875,-1.55,-1
6.6,4.22,-1.6,-1
6.65,4.13875,-1.65,-1
6.7,4.055,-1.7,-1
6.75,3.96875,-1.75,-1
6.8,3.88,-1.8,-1
6.85,3.78875,-1.85,-1
6.9,3.695,-1.9,-1
6.95,3.59875,-1.95,-1
7,3.5,-2,-1
7.05,3.39875,-2.05,-1
7.1,3.295,-2.1,-1
7.15,3.18875,-2.15,-1
7.2,3.08,-2.2,-1
7.25,2.96875,-2.25,-1
7.3,2.855,-2.3,-1
7.35,2.73875,-2.35,-1
7.4,2.62,-2.4,-1
7.45,2.49875,-2.45,-1
7.5,2.375,-2.5,-1
7.55,2.24875,-2.55,-1
7.6,2.12,-2.6,-1
7.65,1.98875,-2.65,-1
7.7,1.855,-2.7,-1
7.75,1.71875,-2.75,-1
7.8,1.58,-2.8,-1
7.85,1.43875,-2.85,-1
7.9,1.295,-2.9,-1
7.95,1.14875,-2.95,-1
8,1,-3,-1
