time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,acceleration_m_s2,specific_energy_J_kg,angular_momentum_m2_s
0,25484000,0,0,3954.90663326,25484000,3954.90663326,0.613768893337,-7820643.23889,100786840642
224.925515479,25468474.2593,889559.413156,-138.010193181,3952.49716769,25484004.7294,3954.90589952,0.613768665526,-7820643.23801,100786840642
449.851030958,25421915.9723,1778034.92574,-275.852071826,3945.27171489,25484018.9119,3954.90369919,0.613767982372,-7820643.23536,100786840642
674.776546437,25344381.9204,2664343.96151,-413.357527796,3933.23910292,25484042.5301,3954.90003496,0.613766844712,-7820643.23094,100786840642
899.702061916,25235966.6623,3547406.5912,-550.358865482,3916.4140331,25484075.5552,3954.89491131,0.613765253937,-7820643.22476,100786840642
1124.62757739,25096802.4174,4426146.85196,-686.68900743,3894.81706186,25484117.9469,3954.88833449,0.613763211994,-7820643.21682,100786840642
1349.55309287,24927058.9043,5299494.06186,-822.181699184,3868.47457534,25484169.6536,3954.88031254,0.613760721382,-7820643.20715,100786840642
1574.47860835,24726943.1324,6166384.12791,-956.671713101,3837.4187568,25484230.612,3954.87085525,0.613757785147,-7820643.19574,100786840642
1799.40412383,24496699.1479,7025760.84583,-1089.99505088,3801.68754692,25484300.7478,3954.85997418,0.613754406882,-7820643.18262,100786840642
2024.32963931,24236607.735,7876577.19027,-1221.98914456,3761.3245969,25484379.9755,3954.84768261,0.613750590721,-7820643.16779,100786840642
2249.25515479,23946986.0714,8717796.59351,-1352.49305571,3716.3792146,25484468.1983,3954.83399556,0.613746341333,-7820643.15128,100786840642
2474.18067027,23628187.3395,9548394.21139,-1481.34767257,3666.90630369,25484565.3086,3954.81892974,0.613741663915,-7820643.13311,100786840642
2699.10618575,23280600.2937,10367358.1747,-1608.39590499,3612.96629585,25484671.1879,3954.80250356,0.613736564189,-7820643.11331,100786840642
2924.03170123,22904648.7835,11173690.8244,-1733.4828767,3554.62507624,25484785.7071,3954.78473706,0.613731048395,-7820643.09188,100786840642
3148.9572167,22500791.2345,11966409.9299,-1856.45611493,3491.9539022,25484908.7263,3954.76565194,0.613725123278,-7820643.06886,100786840642
3373.88273218,22069520.0863,12744549.8874,-1977.165737,3425.02931535,25485040.0955,3954.74527152,0.613718796084,-7820643.04429,100786840642
3598.80824766,21611361.1893,13507162.8984,-2095.46463361,3353.93304721,25485179.6545,3954.72362066,0.613712074553,-7820643.01818,100786840642
3823.73376314,21126873.1605,14253320.1264,-2211.20864875,3278.75191841,25485327.2329,3954.70072582,0.613704966904,-7820642.99057,100786840642
4048.65927862,20616646.699,14982112.8292,-2324.25675589,3199.57773174,25485482.6507,3954.67661494,0.613697481827,-7820642.9615,100786840642
4273.5847941,20081303.8627,15692653.4677,-2434.47123026,3116.50715892,25485645.7183,3954.65131745,0.613689628474,-7820642.931,100786840642
4498.51030958,19521497.3062,16384076.7876,-2541.71781703,3029.64162162,25485816.2369,3954.62486424,0.613681416446,-7820642.89911,100786840642
4723.43582506,18937909.4823,17055540.8746,-2645.86589513,2939.08716647,25485993.9983,3954.5972876,0.613672855782,-7820642.86586,100786840642
4948.36134054,18331251.8055,17706228.1795,-2746.78863658,2844.95433454,25486178.7858,3954.56862119,0.613663956946,-7820642.83131,100786840642
5173.28685601,17702263.7823,18335346.515,-2844.36316114,2747.35802528,25486370.374,3954.53889999,0.613654730812,-7820642.79548,100786840642
5398.21237149,17051712.1051,18942130.0196,-2938.47068593,2646.41735517,25486568.5292,3954.50816029,0.613645188657,-7820642.75843,100786840642
5623.13788697,16380389.7148,19525840.0906,-3028.99667005,2542.25551119,25486773.0097,3954.4764396,0.613635342139,-7820642.72019,100786840642
5848.06340245,15689114.8303,20085766.2823,-3115.83095394,2434.99959936,25486983.5662,3954.44377661,0.613625203288,-7820642.68082,100786840642
6072.98891793,14978729.9479,20621227.1707,-3198.86789325,2324.78048856,25487199.9419,3954.4102112,0.613614784491,-7820642.64037,100786840642
6297.91443341,14250100.8106,21131571.1818,-3278.00648712,2211.73264974,25487421.8728,3954.37578431,0.613604098472,-7820642.59888,100786840642
6522.83994889,13504115.3501,21616177.3834,-3353.15050075,2095.99399076,25487649.0885,3954.34053794,0.613593158282,-7820642.55641,100786840642
6747.76546437,12741682.6009,22074456.2394,-3424.20858202,1977.70568714,25487881.3119,3954.3045151,0.613581977281,-7820642.51301,100786840642
6972.69097985,11963731.5893,22505850.3257,-3491.09437206,1857.01200881,25488118.2598,3954.26775971,0.613570569121,-7820642.46872,100786840642
7197.61649532,11171210.1985,22909835.0061,-3553.72660974,1734.06014316,25488359.6433,3954.23031662,0.613558947729,-7820642.42361,100786840642
7422.5420108,10365084.0102,23285919.0688,-3612.02922975,1609.00001461,25488605.1682,3954.19223149,0.613547127289,-7820642.37773,100786840642
7647.46752628,9546335.1256,23633645.3215,-3665.93145432,1481.98410088,25488854.5351,3954.15355076,0.613535122227,-7820642.33113,100786840642
7872.39304176,8715960.96602,23952591.1445,-3715.36787843,1353.16724623,25489107.4401,3954.11432161,0.613522947195,-7820642.28388,100786840642
8097.31855724,7874973.0551,24242369.0023,-3760.27854839,1222.70647191,25489363.575,3954.07459185,0.613510617045,-7820642.23602,100786840642
8322.24407272,7024395.78433,24502626.9114,-3800.60903372,1090.76078394,25489622.6276,3954.03440994,0.61349814682,-7820642.18763,100786840642
8547.1695882,6165265.16301,24733048.8654,-3836.31049221,957.490978722,25489884.282,3953.99382486,0.613485551729,-7820642.13875,100786840642
8772.09510368,5298627.55434,24933355.2153,-3867.33972816,823.059446385,25490148.2195,3953.95288607,0.613472847133,-7820642.08945,100786840642
8997.02061916,4425538.39924,25103303.0059,-3893.65924363,687.62997239,25490414.1185,3953.91164348,0.613460048524,-7820642.03979,100786840642
9221.94613463,3547060.92939,25242686.2673,-3915.23728281,551.367537483,25490681.6548,3953.87014734,0.613447171504,-7820641.98983,100786840642
9446.87165011,2664264.87112,25351336.2611,-3932.04786922,414.438116301,25490950.5026,3953.82844824,0.613434231771,-7820641.93963,100786840642
9671.79716559,1778225.14165,25429121.6812,-3944.07083598,277.008474859,25491220.3343,3953.78659697,0.613421245094,-7820641.88924,100786840642
9896.72268107,890020.539385,25475948.8091,-3951.29184885,139.245967184,25491490.8211,3953.74464453,0.6134082273,-7820641.83874,100786840642
10121.6481965,732.429827967,25491761.6231,-3953.70242224,1.31833132394,25491761.6336,3953.70264203,0.613395194248,-7820641.78819,100786840642
10346.573712,-888556.571358,25476541.8618,-3951.29992804,-136.606514998,25492032.4419,3953.66064063,0.613382161816,-7820641.73763,100786840642
10571.4992275,-1776763.91643,25430309.0415,-3944.08759736,-274.360678851,25492302.916,3953.6186915,0.613369145877,-7820641.68715,100786840642
10796.424743,-2662808.44322,25353120.4276,-3932.07451506,-411.776496423,25492572.7266,3953.57684572,0.613356162283,-7820641.63679,100786840642
11021.3502585,-3545611.69083,25245070.9601,-3915.27560723,-548.686736973,25492841.545,3953.53515425,0.613343226841,-7820641.58662,100786840642
11246.2757739,-4424099.21162,25106293.1333,-3893.71162155,-684.924806143,25493109.044,3953.49366787,0.6133303553,-7820641.5367,100786840642
11471.2012894,-5297201.87804,24936956.8299,-3867.40910058,-820.324948404,25493374.8977,3953.45243708,0.613317563327,-7820641.4871,100786840642
11696.1268049,-6163857.18265,24737269.1095,-3836.40034803,-954.722448371,25493638.7823,3953.41151208,0.613304866491,-7820641.43786,100786840642
11921.0523204,-7023010.52976,24507473.9522,-3800.72338807,-1087.95383076,25493900.3767,3953.37094269,0.613292280241,-7820641.38906,100786840642
12145.9778359,-7873616.51716,24247851.9571,-3760.42191766,-1219.85705874,25494159.3624,3953.33077829,0.613279819891,-7820641.34075,100786840642
12370.9033513,-8714640.20626,23958719.9967,-3715.54525211,-1350.27173044,25494415.4239,3953.29106777,0.613267500599,-7820641.29298,100786840642
12595.8288668,-9545058.37939,23640430.8271,-3666.1482638,-1479.03927337,25494668.2496,3953.25185946,0.613255337348,-7820641.24583,100786840642
12820.7543823,-10363860.7824,23293372.6548,-3612.29131417,-1606.00313657,25494917.5317,3953.21320107,0.61324334493,-7820641.19933,100786840642
13045.6798978,-11170051.3512,22917968.6604,-3554.04017918,-1731.00898016,25495162.9669,3953.17513963,0.613231537927,-7820641.15356,100786840642
13270.6054133,-11962649.421,22514676.4804,-3491.46596819,-1853.90486214,25495404.2563,3953.13772147,0.613219930693,-7820641.10857,100786840642
13495.5309287,-12740690.9165,22083987.6469,-3424.64503642,-1974.54142226,25495641.1062,3953.10099209,0.613208537338,-7820641.06441,100786840642
13720.4564442,-13503229.5213,21626426.986,-3353.65889113,-2092.77206259,25495873.2285,3953.06499618,0.613197371708,-7820641.02113,100786840642
13945.3819597,-14249337.8262,21142551.9769,-3278.59409165,-2208.45312475,25496100.3407,3953.02977753,0.613186447374,-7820640.97879,100786840642
14170.3074752,-14978108.4536,20632952.071,-3199.54214324,-2321.44406347,25496322.1663,3952.99537897,0.613175777609,-7820640.93743,100786840642
14395.2329906,-15688655.1579,20098247.9717,-3116.59938513,-2431.60761629,25496538.4355,3952.96184233,0.613165375375,-7820640.89712,100786840642
14620.1585061,-16380113.9,19539090.8779,-3029.86687273,-2538.8099693,25496748.8852,3952.92920841,0.613155253309,-7820640.85789,100786840642
14845.0840216,-17051643.8943,18956161.6896,-2939.45025422,-2642.92091858,25496953.2592,3952.89751688,0.613145423705,-7820640.8198,100786840642
15070.0095371,-17702428.6274,18350170.1779,-2845.45964159,-2743.81402726,25497151.3088,3952.86680627,0.6131358985,-7820640.78289,100786840642
15294.9350526,-18331676.8476,17721854.1207,-2748.00947639,-2841.36677796,25497342.7933,3952.83711393,0.613126689262,-7820640.74721,100786840642
15519.860568,-18938623.5234,17071978.4036,-2647.21839037,-2935.46072043,25497527.4796,3952.80847595,0.613117807171,-7820640.71279,100786840642
15744.7860835,-19522530.7697,16401334.0893,-2543.209061,-3025.9816143,25497705.143,3952.78092715,0.613109263011,-7820640.67968,100786840642
15969.711599,-20082688.7414,15710737.4547,-2436.10806225,-3112.81956662,25497875.5675,3952.75450102,0.613101067154,-7820640.64793,100786840642
16194.6371145,-20618416.493,15001028.998,-2326.04571074,-3195.86916419,25498038.5457,3952.72922967,0.613093229547,-7820640.61756,100786840642
