case_index,speed_factor,time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,specific_energy_J_kg,angular_momentum_m2_s
0,0.7,0,25484000,0,0,2768.43464328,25484000,2768.43464328,-11809171.2907,70550788449.4
0,0.7,224.925515479,25468474.2593,622691.58921,-138.074545197,2766.74644401,25476085.3726,2770.18960822,-11809170.5063,70550788449.4
0,0.7,449.851030958,25421887.0235,1244623.74024,-276.238155543,2761.67445077,25452336.3975,2775.45551047,-11809168.1435,70550788449.4
0,0.7,674.776546437,25344208.2403,1865033.68806,-414.579987841,2753.19639675,25412737.79,2784.23543642,-11809164.1741,70550788449.4
0,0.7,899.702061916,25235387.7885,2483151.97774,-553.18937695,2741.27490069,25357264.0595,2796.53474284,-11809158.5501,70550788449.4
0,0.7,1124.62757739,25095355.4288,3098199.02827,-692.155911379,2725.85705636,25285879.4847,2812.36137389,-11809151.2033,70550788449.4
0,0.7,1349.55309287,24924020.7382,3709381.58479,-831.569491922,2706.87384665,25198538.0826,2831.72630061,-11809142.0439,70550788449.4
0,0.7,1574.47860835,24721273.0355,4315889.01886,-971.520366155,2684.23937045,25095183.5721,2854.64407934,-11809130.9585,70550788449.4
0,0.7,1799.40412383,24486981.2999,4916889.43292,-1112.09913028,2657.84986684,24975749.3357,2881.13352524,-11809117.8085,70550788449.4
0,0.7,2024.32963931,24220994.0952,5511525.52158,-1253.39668789,2627.58251644,24840158.3839,2911.21849711,-11809102.4271,70550788449.4
0,0.7,2249.25515479,23923139.5077,6098910.13687,-1395.5041526,2593.29399501,24688323.3283,2944.92879107,-11809084.6162,70550788449.4
0,0.7,2474.18067027,23593225.1135,6678121.49882,-1538.51267846,2554.8187484,24520146.37,2982.30114156,-11809064.1426,70550788449.4
0,0.7,2699.10618575,23231037.9931,7248197.98475,-1682.51319727,2511.96695132,24335519.3136,3023.38033061,-11809040.7335,70550788449.4
0,0.7,2924.03170123,22836344.8171,7808132.4216,-1827.59603673,2464.52210422,24134323.6184,3068.22040859,-11809014.0708,70550788449.4
0,0.7,3148.9572167,22408892.0318,8356865.79415,-1973.8503858,2412.23821333,23916430.5028,3116.8860331,-11808983.7855,70550788449.4
0,0.7,3373.88273218,21948406.1861,8893280.26878,-2121.36356378,2354.83648729,23681701.1223,3169.45393587,-11808949.4499,70550788449.4
0,0.7,3598.80824766,21454594.4456,9416191.4157,-2270.22003762,2292.00147055,23429986.846,3226.01453193,-11808910.5694,70550788449.4
0,0.7,3823.73376314,20927145.3616,9924339.49326,-2420.50011471,2223.37651712,23161129.6651,3286.67368965,-11808866.5733,70550788449.4
0,0.7,4048.65927862,20365729.9736,10416379.6341,-2572.27821696,2148.55848887,22874962.7768,3351.55468485,-11808816.8038,70550788449.4
0,0.7,4273.5847941,19770003.3538,10890870.7446,-2725.62061291,2067.09153884,22571311.3971,3420.80036767,-11808760.5048,70550788449.4
0,0.7,4498.51030958,19139606.7309,11346262.894,-2880.58244567,1978.45981193,22249993.8758,3494.57557561,-11808696.8097,70550788449.4
0,0.7,4723.43582506,18474170.3709,11780882.9307,-3037.20384301,1882.07886147,21910823.2049,3573.06983207,-11808624.729,70550788449.4
0,0.7,4948.36134054,17773317.4509,12192918.0101,-3195.50482591,1777.28554016,21553609.0438,3656.50037381,-11808543.1394,70550788449.4
0,0.7,5173.28685601,17036669.2305,12580396.6632,-3355.47863739,1663.32607698,21178160.4176,3745.11555554,-11808450.7769,70550788449.4
0,0.7,5398.21237149,16263851.9265,12941166.9607,-3517.08298518,1539.34199824,20784289.302,3839.198681,-11808346.237,70550788449.4
0,0.7,5623.13788697,15454505.8237,13272871.2481,-3680.22851522,1404.35349088,20371815.3689,3939.0723085,-11808227.9887,70550788449.4
0,0.7,5848.06340245,14608297.3347,13572916.8264,-3844.76359145,1257.23974428,19940572.2635,4045.10307022,-11808094.4134,70550788449.4
0,0.7,6072.98891793,13724934.9583,13838441.8432,-4010.45412215,1096.71574844,19490415.9078,4157.70702416,-11807943.8871,70550788449.4
0,0.7,6297.91443341,12804190.4133,14066275.5365,-4176.9567085,921.304987102,19021235.4911,4277.3555176,-11807774.9337,70550788449.4
0,0.7,6522.83994889,11845926.6767,14252891.8415,-4343.78274318,729.307471129,18532968.0482,4404.58146791,-11807586.4994,70550788449.4
0,0.7,6747.76546437,10850135.268,14394355.2543,-4510.25018264,518.762660166,18025617.8402,4539.98583782,-11807378.4282,70550788449.4
0,0.7,6972.69097985,9816985.98215,14486257.759,-4675.41845422,287.407112072,17499282.2034,4684.24386322,-11807152.271,70550788449.4
0,0.7,7197.61649532,8746893.45622,14523645.6399,-4838.00020342,32.6273425374,16954186.1441,4838.11022113,-11806912.6482,70550788449.4
0,0.7,7422.5420108,7640606.60286,14500935.2027,-4996.24116709,-248.59033718,16390728.8127,5002.42170908,-11806669.5328,70550788449.4
0,0.7,7647.46752628,6499329.21629,14411817.0205,-5147.75618447,-559.708798574,15809546.1697,5178.09498503,-11806442.0593,70550788449.4
0,0.7,7872.39304176,5324883.17616,14249149.6226,-5289.305084,-904.679207558,15211595.7679,5366.11523732,-11806264.8606,70550788449.4
0,0.7,8097.31855724,4119929.87121,14004846.1463,-5416.4869776,-1287.95355528,14598271.7376,5567.50891684,-11806198.5605,70550788449.4
0,0.7,8322.24407272,2888270.92512,13669762.3879,-5523.32607501,-1714.43978614,13971560.8534,5783.28926401,-11806347.0061,70550788449.4
0,0.7,8547.1695882,1635255.94205,13233603.641,-5601.71885934,-2189.34452471,13334253.9095,6014.35645992,-11806885.1141,70550788449.4
0,0.7,8772.09510368,368331.921105,12684883.4964,-5640.71747843,-2717.80843065,12690230.0106,6261.3238486,-11808102.5268,70550788449.4
0,0.7,8997.02061916,-902226.630964,12010994.7165,-5625.65162875,-3304.17697441,12044833.2065,6524.22728959,-11810468.1852,70550788449.4
0,0.7,9221.94613463,-2162373.2639,11198496.078,-5537.17033195,-3950.66307312,11405357.186,6802.05807108,-11814715.0908,70550788449.4
0,0.7,9446.87165011,-3393128.41338,10233784.8601,-5350.46883554,-4655.06740731,10781635.9145,7092.04972675,-11821922.2025,70550788449.4
0,0.7,9671.79716559,-4569287.18567,9104409.20562,-5035.32826871,-5407.21088487,10186689.9613,7388.67107991,-11833511.3043,70550788449.4
0,0.7,9896.72268107,-5658276.02627,7801345.46891,-4558.17256856,-6184.02307924,9637275.48193,7682.38755917,-11850961.9436,70550788449.4
0,0.7,10121.6481965,-6619785.81492,6322520.04796,-3887.92721669,-6944.22628799,9154005.89863,7958.53358233,-11874927.5139,70550788449.4
0,0.7,10346.573712,-7407264.09298,4677478.11405,-3007.18418515,-7625.58881786,8760500.14843,8197.11910018,-11903595.0117,70550788449.4
0,0.7,10571.4992275,-7972570.72089,2892141.05658,-1927.41735245,-8149.9967659,8480941.20901,8374.80656103,-11931108.0001,70550788449.4
0,0.7,10796.424743,-8274314.77607,1011193.66661,-701.164085605,-8440.79270089,8335874.13802,8469.86496317,-11948419.6446,70550788449.4
0,0.7,11021.3502585,-8287990.10767,-904958.242016,580.30629819,-8449.04911471,8337249.51316,8468.95426499,-11948244.3502,70550788449.4
0,0.7,11246.2757739,-8013263.38956,-2789619.78826,1809.45678551,-8174.33407716,8484949.54101,8372.2082788,-11930661.7982,70550788449.4
0,0.7,11471.2012894,-7474004.10723,-4582190.85402,2894.75206522,-7664.76458797,8766824.42037,8193.18043913,-11903049.8442,70550788449.4
0,0.7,11696.1268049,-6711056.18865,-6237622.0402,3783.14780013,-6996.35661363,9162216.10112,7953.6917933,-11874429.7867,70550788449.4
0,0.7,11921.0523204,-5772151.16908,-7729509.08961,4462.51076049,-6246.851461,9646918.67308,7677.05382704,-11850578.9968,70550788449.4
0,0.7,12145.9778359,-4703591.12238,-9047774.61017,4949.57409896,-5478.40084633,10197352.3448,7383.16731451,-11833247.491,70550788449.4
0,0.7,12370.9033513,-3545580.15786,-10193973.3583,5274.83893928,-4732.43308171,10792971.3928,7086.59641211,-11821753.6883,70550788449.4
0,0.7,12595.8288668,-2330699.38742,-11176664.5109,5471.46321906,-4032.30022579,11417091.9776,6796.79004151,-11814613.4396,70550788449.4
0,0.7,12820.7543823,-1084236.78792,-12007907.772,5569.40030789,-3388.50631859,12056758.2075,6519.21735031,-11810410.0245,70550788449.4
0,0.7,13045.6798978,174701.082905,-12700987.5717,5593.31103514,-2803.5630041,12702189.0147,6256.60401926,-11808071.338,70550788449.4
0,0.7,13270.6054133,1431919.9477,-13269093.4798,5562.4874232,-2275.53024483,13346131.8932,6009.93379567,-11806870.0953,70550788449.4
0,0.7,13495.5309287,2676991.78492,-13724637.1984,5491.5947206,-1800.28820348,13983273.9815,5779.15652936,-11806341.3977,70550788449.4
0,0.7,13720.4564442,3902319.49436,-14078954.9841,5391.60699144,-1372.87674242,14609759.4395,5563.65136399,-11806198.2445,70550788449.4
0,0.7,13945.3819597,5102411.74854,-14342227.2163,5270.67016748,-988.230845204,15222814.693,5362.51472891,-11806267.3742,70550788449.4
0,0.7,14170.3074752,6273335.90304,-14523511.6487,5134.8092511,-641.552371013,15820465.6683,5174.73240757,-11806445.9537,70550788449.4
0,0.7,14395.2329906,7412310.98392,-14630830.2118,4988.47558406,-328.47391887,16401327.5929,4999.27832473,-11806673.971,70550788449.4
0,0.7,14620.1585061,8517406.78744,-14671275.9797,4834.95795041,-45.1092687111,16964449.807,4835.16837643,-11806917.1596,70550788449.4
0,0.7,14845.0840216,9587321.80255,-14651122.6629,4676.68672461,211.954666087,17509201.4275,4681.48731715,-11807156.6025,70550788449.4
0,0.7,15070.0095371,10621219.132,-14575927.9547,4515.45733458,445.693436827,18035187.0406,4537.39986997,-11807382.4545,70550788449.4
0,0.7,15294.9350526,11618604.9398,-14450627.0108,4352.59412039,658.691325325,18542184.3846,4402.1528641,-11807590.1691,70550788449.4
0,0.7,15519.860568,12579238.0844,-14279614.9829,4189.07061331,853.189428734,19030098.1301,4275.07249116,-11807778.2375,70550788449.4
0,0.7,15744.7860835,13503062.6739,-14066818.8667,4025.59808098,1031.13121447,19498925.4731,4155.55910692,-11807946.8382,70550788449.4
0,0.7,15969.711599,14390157.5313,-13815759.543,3862.69097013,1194.20366175,19948730.4239,4043.08099307,-11808097.0364,70550788449.4
0,0.7,16194.6371145,15240698.1891,-13529605.1183,3700.71549474,1343.87341684,20379624.5291,3937.16788231,-11808230.3129,70550788449.4
0,0.7,16419.56263,16054928.2119,-13211216.701,3539.92588312,1481.41805358,20791752.3699,3837.40468383,-11808348.2928,70550788449.4
0,0.7,16644.4881454,16833137.4971,-12863187.6796,3380.4915482,1607.95283828,21185280.6278,3743.42562869,-11808452.5936,70550788449.4
0,0.7,16869.4136609,17575645.82,-12487877.4589,3222.51754797,1724.45351434,21560389.8253,3654.90892774,-11808544.7442,70550788449.4
0,0.7,17094.3391764,18282790.3384,-12087440.4883,3066.06006007,1831.77563817,21917268.0806,3571.57196211,-11808626.1467,70550788449.4
0,0.7,17319.2646919,18954916.099,-11663851.2996,2911.13813127,1930.67096591,22256106.3859,3493.16698684,-11808698.0623,70550788449.4
0,0.7,17544.1902074,19592368.828,-11218926.1639,2757.74262944,2021.80133798,22577095.0426,3419.47730809,-11808761.6119,70550788449.4
0,0.7,17769.1157228,20195489.464,-10754341.8833,2605.84308355,2105.75045038,22880420.9759,3350.3138861,-11808817.7823,70550788449.4
0,0.7,17994.0412383,20764610.0256,-10271652.1528,2455.39292138,2183.03384492,23166265.7212,3285.51231414,-11808867.4384,70550788449.4
0,0.7,18218.9667538,21300050.5011,-9772301.85758,2306.33348586,2254.10739936,23434803.9237,3224.93012574,-11808911.3341,70550788449.4
0,0.7,18443.8922693,21802116.522,-9257639.61534,2158.5971164,2319.37455339,23686202.2301,3168.44438642,-11808950.1255,70550788449.4
0,0.7,18668.8177847,22271097.6393,-8728928.82356,2012.10951099,2379.19246734,23920618.48,3115.94953118,-11808984.3818,70550788449.4
0,0.7,18893.7433002,22707266.0599,-8187357.43106,1866.79153357,2433.87727827,24138201.1264,3067.35541395,-11809014.5963,70550788449.4
0,0.7,19118.6688157,23110875.7353,-7634046.62071,1722.56059135,2483.70859008,24339088.8297,3022.58554078,-11809041.1955,70550788449.4
0,0.7,19343.5943312,23482161.7178,-7070058.56122,1579.33167811,2528.93331164,24523410.1829,2981.57546345,-11809064.5476,70550788449.4
0,0.7,19568.5198467,23821339.7189,-6496403.36324,1437.01815716,2569.76893754,24691283.5361,2944.271315,-11809084.9695,70550788449.4
0,0.7,19793.4453621,24128605.8173,-5914045.35534,1295.53234083,2606.40635031,24842816.8925,2910.62847321,-11809102.7334,70550788449.4
0,0.7,20018.3708776,24404136.278,-5323908.77946,1154.78591079,2639.01220952,24978107.8581,2880.61034188,-11809118.0718,70550788449.4
0,0.7,20243.2963931,24648087.4498,-4726882.99218,1014.69021345,2667.73098201,25097243.6286,2854.18724362,-11809131.1821,70550788449.4
0,0.7,20468.2219086,24860595.7167,-4123827.24689,875.156457509,2692.68665834,25200301.0012,2831.33542081,-11809142.2306,70550788449.4
0,0.7,20693.1474241,25041777.4845,-3515575.12288,736.095834756,2713.98419249,25287346.4014,2812.03614397,-11809151.3556,70550788449.4
0,0.7,20918.0729395,25191729.1868,-2902938.65989,597.419580803,2731.71069527,25358435.9195,2796.27492894,-11809158.6697,70550788449.4
